Time,1,2,3,R1,V_C1,R2,V1
0.073,5.01828,4.98172,10,-0.501828,0.501828,-0.501828,0.501828
0.074,5.01853,4.98147,10,-0.501853,0.501853,-0.501853,0.501853
0.075,5.01878,4.98122,10,-0.501878,0.501878,-0.501878,0.501878
0.076,5.01904,4.98096,10,-0.501904,0.501904,-0.501904,0.501904
0.077,5.01929,4.98071,10,-0.501929,0.501929,-0.501929,0.501929
0.078,5.01954,4.98046,10,-0.501954,0.501954,-0.501954,0.501954
0.079,5.01979,4.98021,10,-0.501979,0.501979,-0.501979,0.501979
0.08,5.02004,4.97996,10,-0.502004,0.502004,-0.502004,0.502004
0.081,5.02029,4.97971,10,-0.502029,0.502029,-0.502029,0.502029
0.082,5.02054,4.97946,10,-0.502054,0.502054,-0.502054,0.502054
0.083,5.02079,4.97921,10,-0.502079,0.502079,-0.502079,0.502079
0.084,5.02104,4.97896,10,-0.502104,0.502104,-0.502104,0.502104
0.085,5.02129,4.97871,10,-0.502129,0.502129,-0.502129,0.502129
0.086,5.02155,4.97845,10,-0.502155,0.502155,-0.502155,0.502155
0.087,5.0218,4.9782,10,-0.50218,0.50218,-0.50218,0.50218
0.088,5.02205,4.97795,10,-0.502205,0.502205,-0.502205,0.502205
0.089,5.0223,4.9777,10,-0.50223,0.50223,-0.50223,0.50223
0.09,5.02255,4.97745,10,-0.502255,0.502255,-0.502255,0.502255
0.091,5.0228,4.9772,10,-0.50228,0.50228,-0.50228,0.50228
0.092,5.02305,4.97695,10,-0.502305,0.502305,-0.502305,0.502305
0.093,5.0233,4.9767,10,-0.50233,0.50233,-0.50233,0.50233
0.094,5.02355,4.97645,10,-0.502355,0.502355,-0.502355,0.502355
0.095,5.02381,4.97619,10,-0.502381,0.502381,-0.502381,0.502381
0.096,5.02406,4.97594,10,-0.502406,0.502406,-0.502406,0.502406
0.097,5.02431,4.97569,10,-0.502431,0.502431,-0.502431,0.502431
0.098,5.02456,4.97544,10,-0.502456,0.502456,-0.502456,0.502456
0.099,5.02481,4.97519,10,-0.502481,0.502481,-0.502481,0.502481
0.1,5.02506,4.97494,10,-0.502506,0.502506,-0.502506,0.502506
0.101,5.02531,4.97469,10,-0.502531,0.502531,-0.502531,0.502531
0.102,5.02556,4.97444,10,-0.502556,0.502556,-0.502556,0.502556
0.103,5.02582,4.97418,10,-0.502582,0.502582,-0.502582,0.502582
0.104,5.02607,4.97393,10,-0.502607,0.502607,-0.502607,0.502607
0.105,5.02632,4.97368,10,-0.502632,0.502632,-0.502632,0.502632
0.106,5.02657,4.97343,10,-0.502657,0.502657,-0.502657,0.502657
0.107,5.02682,4.97318,10,-0.502682,0.502682,-0.502682,0.502682
0.108,5.02707,4.97293,10,-0.502707,0.502707,-0.502707,0.502707
0.109,5.02732,4.97268,10,-0.502732,0.502732,-0.502732,0.502732
0.11,5.02758,4.97242,10,-0.502758,0.502758,-0.502758,0.502758
0.111,5.02783,4.97217,10,-0.502783,0.502783,-0.502783,0.502783
0.112,5.02808,4.97192,10,-0.502808,0.502808,-0.502808,0.502808
0.113,5.02833,4.97167,10,-0.502833,0.502833,-0.502833,0.502833
0.114,5.02858,4.97142,10,-0.502858,0.502858,-0.502858,0.502858
0.115,5.02883,4.97117,10,-0.502883,0.502883,-0.502883,0.502883
0.116,5.02908,4.97092,10,-0.502908,0.502908,-0.502908,0.502908
0.117,5.02933,4.97067,10,-0.502933,0.502933,-0.502933,0.502933
0.118,5.02959,4.97041,10,-0.502959,0.502959,-0.502959,0.502959
0.119,5.02984,4.97016,10,-0.502984,0.502984,-0.502984,0.502984
0.12,5.03009,4.96991,10,-0.503009,0.503009,-0.503009,0.503009
0.121,5.03034,4.96966,10,-0.503034,0.503034,-0.503034,0.503034
0.122,5.03059,4.96941,10,-0.503059,0.503059,-0.503059,0.503059
0.123,5.03084,4.96916,10,-0.503084,0.503084,-0.503084,0.503084
0.124,5.0311,4.9689,10,-0.50311,0.50311,-0.50311,0.50311
0.125,5.03135,4.96865,10,-0.503135,0.503135,-0.503135,0.503135
0.126,5.0316,4.9684,10,-0.50316,0.50316,-0.50316,0.50316
0.127,5.03185,4.96815,10,-0.503185,0.503185,-0.503185,0.503185
0.128,5.0321,4.9679,10,-0.50321,0.50321,-0.50321,0.50321
0.129,5.03235,4.96765,10,-0.503235,0.503235,-0.503235,0.503235
0.13,5.03261,4.96739,10,-0.503261,0.503261,-0.503261,0.503261
0.131,5.03286,4.96714,10,-0.503286,0.503286,-0.503286,0.503286
0.132,5.03311,4.96689,10,-0.503311,0.503311,-0.503311,0.503311
0.133,5.03336,4.96664,10,-0.503336,0.503336,-0.503336,0.503336
0.134,5.03361,4.96639,10,-0.503361,0.503361,-0.503361,0.503361
0.135,5.03386,4.96614,10,-0.503386,0.503386,-0.503386,0.503386
0.136,5.03412,4.96588,10,-0.503412,0.503412,-0.503412,0.503412
0.137,5.03437,4.96563,10,-0.503437,0.503437,-0.503437,0.503437
0.138,5.03462,4.96538,10,-0.503462,0.503462,-0.503462,0.503462
0.139,5.03487,4.96513,10,-0.503487,0.503487,-0.503487,0.503487
0.14,5.03512,4.96488,10,-0.503512,0.503512,-0.503512,0.503512
0.141,5.03537,4.96463,10,-0.503537,0.503537,-0.503537,0.503537
0.142,5.03563,4.96437,10,-0.503563,0.503563,-0.503563,0.503563
0.143,5.03588,4.96412,10,-0.503588,0.503588,-0.503588,0.503588
0.144,5.03613,4.96387,10,-0.503613,0.503613,-0.503613,0.503613
0.145,5.03638,4.96362,10,-0.503638,0.503638,-0.503638,0.503638
0.146,5.03663,4.96337,10,-0.503663,0.503663,-0.503663,0.503663
0.147,5.03688,4.96312,10,-0.503688,0.503688,-0.503688,0.503688
0.148,5.03714,4.96286,10,-0.503714,0.503714,-0.503714,0.503714
0.149,5.03739,4.96261,10,-0.503739,0.503739,-0.503739,0.503739
0.15,5.03764,4.96236,10,-0.503764,0.503764,-0.503764,0.503764
0.151,5.03789,4.96211,10,-0.503789,0.503789,-0.503789,0.503789
0.152,5.03814,4.96186,10,-0.503814,0.503814,-0.503814,0.503814
0.153,5.0384,4.9616,10,-0.50384,0.50384,-0.50384,0.50384
0.154,5.03865,4.96135,10,-0.503865,0.503865,-0.503865,0.503865
0.155,5.0389,4.9611,10,-0.50389,0.50389,-0.50389,0.50389
0.156,5.03915,4.96085,10,-0.503915,0.503915,-0.503915,0.503915
0.157,5.0394,4.9606,10,-0.50394,0.50394,-0.50394,0.50394
0.158,5.03966,4.96034,10,-0.503966,0.503966,-0.503966,0.503966
0.159,5.03991,4.96009,10,-0.503991,0.503991,-0.503991,0.503991
0.16,5.04016,4.95984,10,-0.504016,0.504016,-0.504016,0.504016
0.161,5.04041,4.95959,10,-0.504041,0.504041,-0.504041,0.504041
0.162,5.04066,4.95934,10,-0.504066,0.504066,-0.504066,0.504066
0.163,5.04092,4.95908,10,-0.504092,0.504092,-0.504092,0.504092
0.164,5.04117,4.95883,10,-0.504117,0.504117,-0.504117,0.504117
0.165,5.04142,4.95858,10,-0.504142,0.504142,-0.504142,0.504142
0.166,5.04167,4.95833,10,-0.504167,0.504167,-0.504167,0.504167
0.167,5.04192,4.95808,10,-0.504192,0.504192,-0.504192,0.504192
0.168,5.04218,4.95782,10,-0.504218,0.504218,-0.504218,0.504218
0.169,5.04243,4.95757,10,-0.504243,0.504243,-0.504243,0.504243
0.17,5.04268,4.95732,10,-0.504268,0.504268,-0.504268,0.504268
0.171,5.04293,4.95707,10,-0.504293,0.504293,-0.504293,0.504293
0.172,5.04318,4.95682,10,-0.504318,0.504318,-0.504318,0.504318
0.173,5.04344,4.95656,10,-0.504344,0.504344,-0.504344,0.504344
0.174,5.04369,4.95631,10,-0.504369,0.504369,-0.504369,0.504369
0.175,5.04394,4.95606,10,-0.504394,0.504394,-0.504394,0.504394
0.176,5.04419,4.95581,10,-0.504419,0.504419,-0.504419,0.504419
0.177,5.04445,4.95555,10,-0.504445,0.504445,-0.504445,0.504445
0.178,5.0447,4.9553,10,-0.50447,0.50447,-0.50447,0.50447
0.179,5.04495,4.95505,10,-0.504495,0.504495,-0.504495,0.504495
0.18,5.0452,4.9548,10,-0.50452,0.50452,-0.50452,0.50452
0.181,5.04545,4.95455,10,-0.504545,0.504545,-0.504545,0.504545
0.182,5.04571,4.95429,10,-0.504571,0.504571,-0.504571,0.504571
0.183,5.04596,4.95404,10,-0.504596,0.504596,-0.504596,0.504596
0.184,5.04621,4.95379,10,-0.504621,0.504621,-0.504621,0.504621
0.185,5.04646,4.95354,10,-0.504646,0.504646,-0.504646,0.504646
0.186,5.04672,4.95328,10,-0.504672,0.504672,-0.504672,0.504672
0.187,5.04697,4.95303,10,-0.504697,0.504697,-0.504697,0.504697
0.188,5.04722,4.95278,10,-0.504722,0.504722,-0.504722,0.504722
0.189,5.04747,4.95253,10,-0.504747,0.504747,-0.504747,0.504747
0.19,5.04773,4.95227,10,-0.504773,0.504773,-0.504773,0.504773
0.191,5.04798,4.95202,10,-0.504798,0.504798,-0.504798,0.504798
0.192,5.04823,4.95177,10,-0.504823,0.504823,-0.504823,0.504823
0.193,5.04848,4.95152,10,-0.504848,0.504848,-0.504848,0.504848
0.194,5.04873,4.95127,10,-0.504873,0.504873,-0.504873,0.504873
0.195,5.04899,4.95101,10,-0.504899,0.504899,-0.504899,0.504899
0.196,5.04924,4.95076,10,-0.504924,0.504924,-0.504924,0.504924
0.197,5.04949,4.95051,10,-0.504949,0.504949,-0.504949,0.504949
0.198,5.04974,4.95026,10,-0.504974,0.504974,-0.504974,0.504974
0.199,5.05,4.95,10,-0.505,0.505,-0.505,0.505
0.2,5.05025,4.94975,10,-0.505025,0.505025,-0.505025,0.505025
0.201,5.0505,4.9495,10,-0.50505,0.50505,-0.50505,0.50505
0.202,5.05075,4.94925,10,-0.505075,0.505075,-0.505075,0.505075
0.203,5.05101,4.94899,10,-0.505101,0.505101,-0.505101,0.505101
0.204,5.05126,4.94874,10,-0.505126,0.505126,-0.505126,0.505126
0.205,5.05151,4.94849,10,-0.505151,0.505151,-0.505151,0.505151
0.206,5.05176,4.94824,10,-0.505176,0.505176,-0.505176,0.505176
0.207,5.05202,4.94798,10,-0.505202,0.505202,-0.505202,0.505202
0.208,5.05227,4.94773,10,-0.505227,0.505227,-0.505227,0.505227
0.209,5.05252,4.94748,10,-0.505252,0.505252,-0.505252,0.505252
0.21,5.05278,4.94722,10,-0.505278,0.505278,-0.505278,0.505278
0.211,5.05303,4.94697,10,-0.505303,0.505303,-0.505303,0.505303
0.212,5.05328,4.94672,10,-0.505328,0.505328,-0.505328,0.505328
0.213,5.05353,4.94647,10,-0.505353,0.505353,-0.505353,0.505353
0.214,5.05379,4.94621,10,-0.505379,0.505379,-0.505379,0.505379
0.215,5.05404,4.94596,10,-0.505404,0.505404,-0.505404,0.505404
0.216,5.05429,4.94571,10,-0.505429,0.505429,-0.505429,0.505429
0.217,5.05454,4.94546,10,-0.505454,0.505454,-0.505454,0.505454
0.218,5.0548,4.9452,10,-0.50548,0.50548,-0.50548,0.50548
0.219,5.05505,4.94495,10,-0.505505,0.505505,-0.505505,0.505505
0.22,5.0553,4.9447,10,-0.50553,0.50553,-0.50553,0.50553
0.221,5.05555,4.94445,10,-0.505555,0.505555,-0.505555,0.505555
0.222,5.05581,4.94419,10,-0.505581,0.505581,-0.505581,0.505581
0.223,5.05606,4.94394,10,-0.505606,0.505606,-0.505606,0.505606
0.224,5.05631,4.94369,10,-0.505631,0.505631,-0.505631,0.505631
0.225,5.05657,4.94343,10,-0.505657,0.505657,-0.505657,0.505657
0.226,5.05682,4.94318,10,-0.505682,0.505682,-0.505682,0.505682
0.227,5.05707,4.94293,10,-0.505707,0.505707,-0.505707,0.505707
0.228,5.05732,4.94268,10,-0.505732,0.505732,-0.505732,0.505732
0.229,5.05758,4.94242,10,-0.505758,0.505758,-0.505758,0.505758
0.23,5.05783,4.94217,10,-0.505783,0.505783,-0.505783,0.505783
0.231,5.05808,4.94192,10,-0.505808,0.505808,-0.505808,0.505808
